date,ethereum,ripple,CLAMS,bitcoin,isPartial
2015-08-11 00:00:00,4,23,35,82,False
2015-08-11 01:00:00,3,24,30,73,False
2015-08-11 02:00:00,3,22,28,80,False
2015-08-11 03:00:00,3,20,18,74,False
2015-08-11 04:00:00,2,17,16,76,False
2015-08-11 05:00:00,3,19,13,72,False
2015-08-11 06:00:00,3,15,8,63,False
2015-08-11 07:00:00,3,18,7,62,False
2015-08-11 08:00:00,4,14,6,63,False
2015-08-11 09:00:00,4,14,7,60,False
2015-08-11 10:00:00,4,14,7,58,False
2015-08-11 11:00:00,3,13,9,61,False
2015-08-11 12:00:00,4,17,10,61,False
2015-08-11 13:00:00,3,15,11,61,False
2015-08-11 14:00:00,3,16,14,65,False
2015-08-11 15:00:00,3,18,14,68,False
2015-08-11 16:00:00,3,17,18,65,False
2015-08-11 17:00:00,3,19,18,68,False
2015-08-11 18:00:00,4,18,20,74,False
2015-08-11 19:00:00,3,20,23,74,False
2015-08-11 20:00:00,5,21,22,76,False
2015-08-11 21:00:00,5,21,27,100,False
2015-08-11 22:00:00,6,22,34,82,False
2015-08-11 23:00:00,5,21,30,76,False
2015-08-12 00:00:00,6,21,27,85,False
2015-08-12 01:00:00,4,22,25,72,False
2015-08-12 02:00:00,4,23,22,73,False
2015-08-12 03:00:00,3,20,18,74,False
2015-08-12 04:00:00,3,19,13,73,False
2015-08-12 05:00:00,4,19,10,66,False
2015-08-12 06:00:00,4,18,8,65,False
2015-08-12 07:00:00,3,14,7,63,False
2015-08-12 08:00:00,3,15,6,64,False
2015-08-12 09:00:00,4,15,7,58,False
2015-08-12 10:00:00,4,15,7,65,False
2015-08-12 11:00:00,3,14,9,67,False
2015-08-12 12:00:00,4,15,9,65,False
2015-08-12 13:00:00,5,16,12,62,False
2015-08-12 14:00:00,4,17,13,67,False
2015-08-12 15:00:00,4,17,16,70,False
2015-08-12 16:00:00,4,17,15,71,False
2015-08-12 17:00:00,5,19,17,72,False
2015-08-12 18:00:00,4,19,19,73,False
2015-08-12 19:00:00,3,18,21,69,False
2015-08-12 20:00:00,5,20,24,69,False
2015-08-12 21:00:00,4,21,30,98,False
2015-08-12 22:00:00,5,20,33,81,False
2015-08-12 23:00:00,4,20,32,76,False
2015-08-13 00:00:00,5,22,28,89,False
2015-08-13 01:00:00,4,26,24,69,False
2015-08-13 02:00:00,3,23,22,71,False
2015-08-13 03:00:00,3,23,20,72,False
2015-08-13 04:00:00,3,19,14,74,False
2015-08-13 05:00:00,3,16,12,75,False
2015-08-13 06:00:00,4,16,7,77,False
2015-08-13 07:00:00,4,14,7,76,False
2015-08-13 08:00:00,4,15,5,75,False
2015-08-13 09:00:00,4,15,7,73,False
2015-08-13 10:00:00,5,14,9,69,False
2015-08-13 11:00:00,3,14,9,70,False
2015-08-13 12:00:00,4,14,9,65,False
2015-08-13 13:00:00,4,16,12,67,False
2015-08-13 14:00:00,4,17,12,63,False
2015-08-13 15:00:00,5,16,16,68,False
2015-08-13 16:00:00,6,16,15,74,False
2015-08-13 17:00:00,6,17,18,74,False
2015-08-13 18:00:00,7,19,19,82,False
2015-08-13 19:00:00,7,18,19,73,False
2015-08-13 20:00:00,7,19,22,79,False
2015-08-13 21:00:00,7,19,28,90,False
2015-08-13 22:00:00,8,22,32,79,False
2015-08-13 23:00:00,7,22,33,73,False
2015-08-14 00:00:00,6,21,29,72,False
2015-08-14 00:00:00,6,22,29,74,False
2015-08-14 01:00:00,5,24,23,80,False
2015-08-14 02:00:00,5,23,22,74,False
2015-08-14 03:00:00,6,19,18,75,False
2015-08-14 04:00:00,6,18,13,72,False
2015-08-14 05:00:00,5,17,12,66,False
2015-08-14 06:00:00,6,14,7,68,False
2015-08-14 07:00:00,6,14,8,65,False
2015-08-14 08:00:00,6,15,6,62,False
2015-08-14 09:00:00,6,14,8,61,False
2015-08-14 10:00:00,7,15,8,63,False
2015-08-14 11:00:00,7,13,9,65,False
2015-08-14 12:00:00,7,16,11,65,False
2015-08-14 13:00:00,8,17,12,60,False
2015-08-14 14:00:00,6,18,15,67,False
2015-08-14 15:00:00,5,17,16,66,False
2015-08-14 16:00:00,7,17,19,68,False
2015-08-14 17:00:00,6,19,21,67,False
2015-08-14 18:00:00,6,19,23,69,False
2015-08-14 19:00:00,5,22,25,82,False
2015-08-14 20:00:00,5,20,27,70,False
2015-08-14 21:00:00,5,20,34,89,False
2015-08-14 22:00:00,6,23,40,75,False
2015-08-14 23:00:00,7,24,41,75,False
2015-08-15 00:00:00,5,24,39,83,False
2015-08-15 01:00:00,5,22,33,74,False
2015-08-15 02:00:00,4,22,25,69,False
2015-08-15 03:00:00,4,21,23,71,False
2015-08-15 04:00:00,5,19,16,73,False
2015-08-15 05:00:00,3,16,13,67,False
2015-08-15 06:00:00,5,13,12,64,False
2015-08-15 07:00:00,5,12,9,62,False
2015-08-15 08:00:00,4,10,8,60,False
2015-08-15 09:00:00,4,11,9,60,False
2015-08-15 10:00:00,3,11,10,56,False
2015-08-15 11:00:00,4,13,12,60,False
2015-08-15 12:00:00,4,15,14,57,False
2015-08-15 13:00:00,5,16,17,58,False
2015-08-15 14:00:00,3,17,18,64,False
2015-08-15 15:00:00,4,17,20,64,False
2015-08-15 16:00:00,5,18,22,65,False
2015-08-15 17:00:00,4,19,26,69,False
2015-08-15 18:00:00,5,20,30,67,False
2015-08-15 19:00:00,4,20,33,71,False
2015-08-15 20:00:00,5,19,36,81,False
2015-08-15 21:00:00,5,22,50,96,False
2015-08-15 22:00:00,6,24,54,100,False
2015-08-15 23:00:00,3,23,51,83,False
2015-08-16 00:00:00,6,24,43,86,False
2015-08-16 01:00:00,3,24,40,84,False
2015-08-16 02:00:00,4,21,32,74,False
2015-08-16 03:00:00,5,24,28,76,False
2015-08-16 04:00:00,3,18,23,72,False
2015-08-16 05:00:00,4,15,14,70,False
2015-08-16 06:00:00,4,12,11,67,False
2015-08-16 07:00:00,4,11,10,68,False
2015-08-16 08:00:00,4,11,9,69,False
2015-08-16 09:00:00,5,13,9,68,False
2015-08-16 10:00:00,4,13,10,71,False
2015-08-16 11:00:00,3,13,13,63,False
2015-08-16 12:00:00,3,15,15,61,False
2015-08-16 13:00:00,4,15,18,71,False
2015-08-16 14:00:00,4,17,20,66,False
2015-08-16 15:00:00,4,15,21,68,False
2015-08-16 16:00:00,4,16,25,71,False
2015-08-16 17:00:00,3,17,28,70,False
2015-08-16 18:00:00,3,16,30,74,False
2015-08-16 19:00:00,4,19,34,75,False
2015-08-16 20:00:00,4,17,37,83,False
2015-08-16 21:00:00,5,17,46,97,False
2015-08-16 22:00:00,5,21,52,92,False
2015-08-16 23:00:00,4,22,44,81,False
2015-08-17 00:00:00,4,24,44,95,False
2015-08-17 00:00:00,2,16,29,62,False
2015-08-17 01:00:00,2,16,22,51,False
2015-08-17 02:00:00,2,15,20,51,False
2015-08-17 03:00:00,2,13,14,51,False
2015-08-17 04:00:00,2,14,11,49,False
2015-08-17 05:00:00,2,11,9,45,False
2015-08-17 06:00:00,2,9,6,45,False
2015-08-17 07:00:00,2,9,5,42,False
2015-08-17 08:00:00,3,9,5,42,False
2015-08-17 09:00:00,2,9,4,45,False
2015-08-17 10:00:00,2,8,5,46,False
2015-08-17 11:00:00,2,10,7,41,False
2015-08-17 12:00:00,2,10,7,44,False
2015-08-17 13:00:00,3,13,7,42,False
2015-08-17 14:00:00,2,11,8,44,False
2015-08-17 15:00:00,2,13,11,44,False
2015-08-17 16:00:00,3,12,11,46,False
2015-08-17 17:00:00,2,12,12,46,False
2015-08-17 18:00:00,2,12,13,49,False
2015-08-17 19:00:00,3,12,14,48,False
2015-08-17 20:00:00,4,13,15,51,False
2015-08-17 21:00:00,3,13,20,54,False
2015-08-17 22:00:00,3,12,27,65,False
2015-08-17 23:00:00,3,15,23,53,False
2015-08-18 00:00:00,2,15,23,50,False
2015-08-18 01:00:00,3,15,18,56,False
2015-08-18 02:00:00,2,16,15,51,False
2015-08-18 03:00:00,3,15,12,49,False
2015-08-18 04:00:00,3,13,10,48,False
2015-08-18 05:00:00,2,12,7,46,False
2015-08-18 06:00:00,2,10,5,45,False
2015-08-18 07:00:00,2,8,5,44,False
2015-08-18 08:00:00,2,9,4,41,False
2015-08-18 09:00:00,2,9,4,43,False
2015-08-18 10:00:00,2,10,5,43,False
2015-08-18 11:00:00,2,10,6,45,False
2015-08-18 12:00:00,2,11,7,43,False
2015-08-18 13:00:00,2,11,8,50,False
2015-08-18 14:00:00,2,12,7,55,False
2015-08-18 15:00:00,2,12,10,55,False
2015-08-18 16:00:00,2,11,10,58,False
2015-08-18 17:00:00,2,12,14,54,False
2015-08-18 18:00:00,2,12,14,56,False
2015-08-18 19:00:00,2,12,14,59,False
2015-08-18 20:00:00,3,12,17,63,False
2015-08-18 21:00:00,3,14,21,82,False
2015-08-18 22:00:00,2,14,22,71,False
2015-08-18 23:00:00,2,15,23,93,False
2015-08-19 00:00:00,2,13,22,100,False
2015-08-19 01:00:00,2,16,18,83,False
2015-08-19 02:00:00,2,15,16,77,False
2015-08-19 03:00:00,2,13,15,79,False
2015-08-19 04:00:00,2,14,12,72,False
2015-08-19 05:00:00,2,12,9,72,False
2015-08-19 06:00:00,2,11,6,62,False
2015-08-19 07:00:00,2,9,6,62,False
2015-08-19 08:00:00,2,11,5,61,False
2015-08-19 09:00:00,2,11,5,56,False
2015-08-19 10:00:00,2,8,6,64,False
2015-08-19 11:00:00,1,10,6,57,False
2015-08-19 12:00:00,2,10,8,59,False
2015-08-19 13:00:00,2,11,8,59,False
2015-08-19 14:00:00,1,12,8,63,False
2015-08-19 15:00:00,2,11,9,62,False
2015-08-19 16:00:00,2,13,11,66,False
2015-08-19 17:00:00,2,12,12,69,False
2015-08-19 18:00:00,2,13,12,74,False
2015-08-19 19:00:00,2,12,13,70,False
2015-08-19 20:00:00,2,11,15,76,False
2015-08-19 21:00:00,2,13,18,90,False
2015-08-19 22:00:00,3,15,19,90,False
2015-08-19 23:00:00,2,14,20,79,False
2015-08-20 00:00:00,1,14,19,70,False
2015-08-20 00:00:00,2,19,27,97,False
2015-08-20 01:00:00,2,20,24,96,False
2015-08-20 02:00:00,2,20,21,93,False
2015-08-20 03:00:00,1,17,16,87,False
2015-08-20 04:00:00,2,18,12,84,False
2015-08-20 05:00:00,2,15,11,87,False
2015-08-20 06:00:00,2,15,7,84,False
2015-08-20 07:00:00,2,12,6,81,False
2015-08-20 08:00:00,2,13,7,77,False
2015-08-20 09:00:00,3,14,6,74,False
2015-08-20 10:00:00,2,14,9,75,False
2015-08-20 11:00:00,2,14,9,72,False
2015-08-20 12:00:00,2,14,9,75,False
2015-08-20 13:00:00,3,15,9,71,False
2015-08-20 14:00:00,3,15,12,75,False
2015-08-20 15:00:00,3,17,14,74,False
2015-08-20 16:00:00,4,17,15,76,False
2015-08-20 17:00:00,4,15,17,76,False
2015-08-20 18:00:00,4,15,20,76,False
2015-08-20 19:00:00,3,16,19,98,False
2015-08-20 20:00:00,3,17,18,82,False
2015-08-20 21:00:00,4,17,24,85,False
