date,ETH,XRP,CLAM,BTN,isPartial
2015-08-11 00:00:00,9,1,86,67,False
2015-08-11 01:00:00,7,2,74,57,False
2015-08-11 02:00:00,8,1,85,77,False
2015-08-11 03:00:00,11,1,54,79,False
2015-08-11 04:00:00,13,1,44,98,False
2015-08-11 05:00:00,20,1,38,73,False
2015-08-11 06:00:00,28,1,26,70,False
2015-08-11 07:00:00,32,1,23,63,False
2015-08-11 08:00:00,41,1,24,57,False
2015-08-11 09:00:00,37,1,24,50,False
2015-08-11 10:00:00,32,1,23,41,False
2015-08-11 11:00:00,32,1,28,44,False
2015-08-11 12:00:00,31,1,31,32,False
2015-08-11 13:00:00,31,1,37,32,False
2015-08-11 14:00:00,28,1,43,30,False
2015-08-11 15:00:00,25,1,49,28,False
2015-08-11 16:00:00,19,1,56,28,False
2015-08-11 17:00:00,20,1,52,40,False
2015-08-11 18:00:00,20,1,54,24,False
2015-08-11 19:00:00,20,3,60,21,False
2015-08-11 20:00:00,17,1,62,19,False
2015-08-11 21:00:00,16,2,73,21,False
2015-08-11 22:00:00,12,2,78,34,False
2015-08-11 23:00:00,11,2,80,61,False
2015-08-12 00:00:00,9,1,76,66,False
2015-08-12 01:00:00,9,1,75,70,False
2015-08-12 02:00:00,11,1,58,88,False
2015-08-12 03:00:00,9,1,44,73,False
2015-08-12 04:00:00,11,2,46,90,False
2015-08-12 05:00:00,20,1,34,64,False
2015-08-12 06:00:00,29,1,29,66,False
2015-08-12 07:00:00,37,1,24,56,False
2015-08-12 08:00:00,38,1,22,55,False
2015-08-12 09:00:00,36,1,22,50,False
2015-08-12 10:00:00,33,2,23,43,False
2015-08-12 11:00:00,29,1,32,49,False
2015-08-12 12:00:00,30,1,35,34,False
2015-08-12 13:00:00,32,2,36,31,False
2015-08-12 14:00:00,27,1,41,23,False
2015-08-12 15:00:00,25,1,46,27,False
2015-08-12 16:00:00,21,1,48,23,False
2015-08-12 17:00:00,18,2,58,44,False
2015-08-12 18:00:00,16,2,53,23,False
2015-08-12 19:00:00,18,1,56,19,False
2015-08-12 20:00:00,17,1,63,22,False
2015-08-12 21:00:00,16,1,72,21,False
2015-08-12 22:00:00,12,2,78,32,False
2015-08-12 23:00:00,11,2,77,59,False
2015-08-13 00:00:00,9,1,71,74,False
2015-08-13 01:00:00,9,1,71,68,False
2015-08-13 02:00:00,9,1,64,86,False
2015-08-13 03:00:00,7,2,54,80,False
2015-08-13 04:00:00,10,1,38,100,False
2015-08-13 05:00:00,19,1,33,68,False
2015-08-13 06:00:00,28,1,25,71,False
2015-08-13 07:00:00,32,1,22,57,False
2015-08-13 08:00:00,40,1,21,47,False
2015-08-13 09:00:00,39,1,25,46,False
2015-08-13 10:00:00,31,1,24,42,False
2015-08-13 11:00:00,32,1,26,44,False
2015-08-13 12:00:00,33,1,32,34,False
2015-08-13 13:00:00,30,1,36,28,False
2015-08-13 14:00:00,27,1,42,26,False
2015-08-13 15:00:00,22,1,47,25,False
2015-08-13 16:00:00,18,1,48,25,False
2015-08-13 17:00:00,19,2,53,52,False
2015-08-13 18:00:00,23,1,55,26,False
2015-08-13 19:00:00,22,2,56,19,False
2015-08-13 20:00:00,20,1,64,22,False
2015-08-13 21:00:00,19,2,70,21,False
2015-08-13 22:00:00,14,1,79,30,False
2015-08-13 23:00:00,9,1,81,59,False
2015-08-14 00:00:00,10,1,73,65,False
2015-08-14 00:00:00,8,1,64,57,False
2015-08-14 01:00:00,8,1,58,59,False
2015-08-14 02:00:00,9,1,55,77,False
2015-08-14 03:00:00,8,1,46,65,False
2015-08-14 04:00:00,11,1,39,77,False
2015-08-14 05:00:00,16,1,34,58,False
2015-08-14 06:00:00,24,0,26,53,False
2015-08-14 07:00:00,32,0,21,45,False
2015-08-14 08:00:00,36,1,20,40,False
2015-08-14 09:00:00,35,0,21,36,False
2015-08-14 10:00:00,28,1,24,34,False
2015-08-14 11:00:00,26,1,26,39,False
2015-08-14 12:00:00,26,1,30,28,False
2015-08-14 13:00:00,24,1,36,24,False
2015-08-14 14:00:00,22,1,41,22,False
2015-08-14 15:00:00,21,1,46,22,False
2015-08-14 16:00:00,18,1,53,21,False
2015-08-14 17:00:00,16,1,52,29,False
2015-08-14 18:00:00,15,1,53,23,False
2015-08-14 19:00:00,16,1,60,29,False
2015-08-14 20:00:00,17,1,66,21,False
2015-08-14 21:00:00,14,1,71,25,False
2015-08-14 22:00:00,11,1,74,21,False
2015-08-14 23:00:00,11,2,83,22,False
2015-08-15 00:00:00,6,1,80,25,False
2015-08-15 01:00:00,7,1,71,26,False
2015-08-15 02:00:00,7,1,62,29,False
2015-08-15 03:00:00,8,1,54,34,False
2015-08-15 04:00:00,9,0,52,35,False
2015-08-15 05:00:00,14,1,38,42,False
2015-08-15 06:00:00,14,0,33,41,False
2015-08-15 07:00:00,16,1,24,42,False
2015-08-15 08:00:00,18,1,23,35,False
2015-08-15 09:00:00,21,0,23,35,False
2015-08-15 10:00:00,20,0,22,32,False
2015-08-15 11:00:00,17,1,24,28,False
2015-08-15 12:00:00,19,1,36,30,False
2015-08-15 13:00:00,18,1,37,28,False
2015-08-15 14:00:00,15,1,44,27,False
2015-08-15 15:00:00,15,1,51,23,False
2015-08-15 16:00:00,15,1,59,21,False
2015-08-15 17:00:00,16,1,57,17,False
2015-08-15 18:00:00,14,1,63,15,False
2015-08-15 19:00:00,14,1,67,14,False
2015-08-15 20:00:00,14,1,78,19,False
2015-08-15 21:00:00,12,2,86,27,False
2015-08-15 22:00:00,10,1,100,23,False
2015-08-15 23:00:00,10,1,92,22,False
2015-08-16 00:00:00,9,1,91,24,False
2015-08-16 01:00:00,5,1,81,27,False
2015-08-16 02:00:00,6,1,73,28,False
2015-08-16 03:00:00,8,1,56,29,False
2015-08-16 04:00:00,9,2,40,32,False
2015-08-16 05:00:00,11,0,32,31,False
2015-08-16 06:00:00,14,1,28,34,False
2015-08-16 07:00:00,16,0,24,33,False
2015-08-16 08:00:00,15,0,22,33,False
2015-08-16 09:00:00,19,1,23,30,False
2015-08-16 10:00:00,22,1,30,32,False
2015-08-16 11:00:00,21,1,35,29,False
2015-08-16 12:00:00,19,1,44,27,False
2015-08-16 13:00:00,15,1,47,26,False
2015-08-16 14:00:00,20,1,52,22,False
2015-08-16 15:00:00,18,1,53,23,False
2015-08-16 16:00:00,19,1,59,20,False
2015-08-16 17:00:00,16,2,58,17,False
2015-08-16 18:00:00,16,1,58,13,False
2015-08-16 19:00:00,19,1,67,13,False
2015-08-16 20:00:00,18,2,75,16,False
2015-08-16 21:00:00,17,1,88,27,False
2015-08-16 22:00:00,12,1,96,22,False
2015-08-16 23:00:00,9,1,92,49,False
2015-08-17 00:00:00,6,1,92,52,False
