date,LTC,MAID,DGB,BTN,isPartial
2015-08-11 00:00:00,5,93,3,22,False
2015-08-11 01:00:00,5,87,3,19,False
2015-08-11 02:00:00,6,100,3,26,False
2015-08-11 03:00:00,5,99,3,26,False
2015-08-11 04:00:00,6,91,2,33,False
2015-08-11 05:00:00,6,86,2,24,False
2015-08-11 06:00:00,7,71,3,23,False
2015-08-11 07:00:00,7,61,3,21,False
2015-08-11 08:00:00,7,61,3,19,False
2015-08-11 09:00:00,7,60,3,16,False
2015-08-11 10:00:00,6,58,2,14,False
2015-08-11 11:00:00,6,59,3,14,False
2015-08-11 12:00:00,6,58,2,10,False
2015-08-11 13:00:00,5,59,3,11,False
2015-08-11 14:00:00,7,62,3,10,False
2015-08-11 15:00:00,7,66,3,9,False
2015-08-11 16:00:00,7,68,3,9,False
2015-08-11 17:00:00,8,72,3,13,False
2015-08-11 18:00:00,7,70,3,8,False
2015-08-11 19:00:00,8,72,3,7,False
2015-08-11 20:00:00,8,72,2,6,False
2015-08-11 21:00:00,7,74,3,7,False
2015-08-11 22:00:00,6,80,3,11,False
2015-08-11 23:00:00,5,82,3,20,False
2015-08-12 00:00:00,5,78,3,22,False
2015-08-12 01:00:00,6,81,3,23,False
2015-08-12 02:00:00,5,85,2,29,False
2015-08-12 03:00:00,5,86,2,24,False
2015-08-12 04:00:00,5,84,3,30,False
2015-08-12 05:00:00,6,78,2,21,False
2015-08-12 06:00:00,7,69,3,22,False
2015-08-12 07:00:00,7,61,3,19,False
2015-08-12 08:00:00,5,58,3,18,False
2015-08-12 09:00:00,6,59,3,16,False
2015-08-12 10:00:00,7,56,3,14,False
2015-08-12 11:00:00,7,54,2,16,False
2015-08-12 12:00:00,6,56,3,11,False
2015-08-12 13:00:00,6,57,3,10,False
2015-08-12 14:00:00,7,60,3,8,False
2015-08-12 15:00:00,7,65,3,9,False
2015-08-12 16:00:00,7,65,3,8,False
2015-08-12 17:00:00,6,72,4,15,False
2015-08-12 18:00:00,7,73,2,8,False
2015-08-12 19:00:00,7,73,3,6,False
2015-08-12 20:00:00,7,74,2,7,False
2015-08-12 21:00:00,6,74,3,7,False
2015-08-12 22:00:00,6,75,3,10,False
2015-08-12 23:00:00,6,79,3,20,False
2015-08-13 00:00:00,6,84,3,25,False
2015-08-13 01:00:00,6,84,2,22,False
2015-08-13 02:00:00,5,89,3,29,False
2015-08-13 03:00:00,6,91,2,26,False
2015-08-13 04:00:00,6,87,2,33,False
2015-08-13 05:00:00,7,81,2,22,False
2015-08-13 06:00:00,6,67,3,24,False
2015-08-13 07:00:00,8,62,2,19,False
2015-08-13 08:00:00,7,57,3,15,False
2015-08-13 09:00:00,7,57,3,15,False
2015-08-13 10:00:00,6,59,2,14,False
2015-08-13 11:00:00,7,57,2,15,False
2015-08-13 12:00:00,6,58,2,11,False
2015-08-13 13:00:00,7,58,2,9,False
2015-08-13 14:00:00,7,60,3,9,False
2015-08-13 15:00:00,7,65,3,8,False
2015-08-13 16:00:00,6,67,3,8,False
2015-08-13 17:00:00,7,73,3,17,False
2015-08-13 18:00:00,7,74,3,9,False
2015-08-13 19:00:00,7,73,2,6,False
2015-08-13 20:00:00,8,73,3,7,False
2015-08-13 21:00:00,8,78,3,7,False
2015-08-13 22:00:00,6,83,3,10,False
2015-08-13 23:00:00,6,82,3,20,False
2015-08-14 00:00:00,6,83,3,21,False
2015-08-14 00:00:00,5,68,3,18,False
2015-08-14 01:00:00,5,68,2,18,False
2015-08-14 02:00:00,4,71,3,24,False
2015-08-14 03:00:00,5,72,2,20,False
2015-08-14 04:00:00,4,74,2,24,False
2015-08-14 05:00:00,5,68,1,18,False
2015-08-14 06:00:00,6,57,2,16,False
2015-08-14 07:00:00,5,53,2,14,False
2015-08-14 08:00:00,4,49,2,12,False
