date,FCT,NXT,BTN,isPartial
2015-08-11 00:00:00,5,65,67,False
2015-08-11 01:00:00,6,49,57,False
2015-08-11 02:00:00,4,69,77,False
2015-08-11 03:00:00,4,46,79,False
2015-08-11 04:00:00,4,44,98,False
2015-08-11 05:00:00,6,37,73,False
2015-08-11 06:00:00,7,32,70,False
2015-08-11 07:00:00,9,29,63,False
2015-08-11 08:00:00,11,32,57,False
2015-08-11 09:00:00,12,28,50,False
2015-08-11 10:00:00,11,25,41,False
2015-08-11 11:00:00,9,29,44,False
2015-08-11 12:00:00,8,29,32,False
2015-08-11 13:00:00,11,31,32,False
2015-08-11 14:00:00,10,29,30,False
2015-08-11 15:00:00,9,34,28,False
2015-08-11 16:00:00,7,33,28,False
2015-08-11 17:00:00,7,35,40,False
2015-08-11 18:00:00,8,34,24,False
2015-08-11 19:00:00,6,40,21,False
2015-08-11 20:00:00,8,34,19,False
2015-08-11 21:00:00,9,38,21,False
2015-08-11 22:00:00,5,40,34,False
2015-08-11 23:00:00,7,42,61,False
2015-08-12 00:00:00,5,56,66,False
2015-08-12 01:00:00,4,44,70,False
2015-08-12 02:00:00,5,42,88,False
2015-08-12 03:00:00,5,46,73,False
2015-08-12 04:00:00,2,47,90,False
2015-08-12 05:00:00,5,50,64,False
2015-08-12 06:00:00,6,36,66,False
2015-08-12 07:00:00,8,30,56,False
2015-08-12 08:00:00,11,26,55,False
2015-08-12 09:00:00,10,32,50,False
2015-08-12 10:00:00,8,29,43,False
2015-08-12 11:00:00,8,25,49,False
2015-08-12 12:00:00,8,30,34,False
2015-08-12 13:00:00,9,32,31,False
2015-08-12 14:00:00,9,31,23,False
2015-08-12 15:00:00,9,37,27,False
2015-08-12 16:00:00,8,36,23,False
2015-08-12 17:00:00,8,39,44,False
2015-08-12 18:00:00,8,40,23,False
2015-08-12 19:00:00,8,36,19,False
2015-08-12 20:00:00,6,42,22,False
2015-08-12 21:00:00,6,43,21,False
2015-08-12 22:00:00,7,47,32,False
2015-08-12 23:00:00,7,55,59,False
2015-08-13 00:00:00,4,82,74,False
2015-08-13 01:00:00,5,81,68,False
2015-08-13 02:00:00,4,68,86,False
2015-08-13 03:00:00,2,76,80,False
2015-08-13 04:00:00,5,61,100,False
2015-08-13 05:00:00,3,57,68,False
2015-08-13 06:00:00,5,52,71,False
2015-08-13 07:00:00,9,43,57,False
2015-08-13 08:00:00,7,44,47,False
2015-08-13 09:00:00,9,43,46,False
2015-08-13 10:00:00,9,45,42,False
2015-08-13 11:00:00,11,45,44,False
2015-08-13 12:00:00,11,42,34,False
2015-08-13 13:00:00,9,40,28,False
2015-08-13 14:00:00,9,44,26,False
2015-08-13 15:00:00,8,50,25,False
2015-08-13 16:00:00,6,44,25,False
2015-08-13 17:00:00,6,45,52,False
2015-08-13 18:00:00,7,45,26,False
2015-08-13 19:00:00,6,47,19,False
2015-08-13 20:00:00,8,44,22,False
2015-08-13 21:00:00,6,45,21,False
2015-08-13 22:00:00,7,48,30,False
2015-08-13 23:00:00,8,53,59,False
2015-08-14 00:00:00,5,60,65,False
2015-08-14 00:00:00,5,69,74,False
2015-08-14 01:00:00,4,81,77,False
2015-08-14 02:00:00,5,75,100,False
2015-08-14 03:00:00,5,69,85,False
2015-08-14 04:00:00,4,68,100,False
2015-08-14 05:00:00,5,62,75,False
2015-08-14 06:00:00,7,47,69,False
2015-08-14 07:00:00,8,43,58,False
2015-08-14 08:00:00,7,42,52,False
2015-08-14 09:00:00,9,42,47,False
2015-08-14 10:00:00,11,45,44,False
2015-08-14 11:00:00,7,44,50,False
2015-08-14 12:00:00,8,47,36,False
2015-08-14 13:00:00,10,47,31,False
2015-08-14 14:00:00,10,47,29,False
2015-08-14 15:00:00,9,45,29,False
2015-08-14 16:00:00,9,50,28,False
2015-08-14 17:00:00,8,50,38,False
2015-08-14 18:00:00,9,50,30,False
2015-08-14 19:00:00,7,53,38,False
2015-08-14 20:00:00,7,53,27,False
2015-08-14 21:00:00,6,50,33,False
2015-08-14 22:00:00,5,56,27,False
2015-08-14 23:00:00,5,55,29,False
2015-08-15 00:00:00,4,55,33,False
2015-08-15 01:00:00,5,57,33,False
2015-08-15 02:00:00,3,57,38,False
2015-08-15 03:00:00,3,57,44,False
2015-08-15 04:00:00,2,54,46,False
2015-08-15 05:00:00,4,56,54,False
2015-08-15 06:00:00,4,44,53,False
2015-08-15 07:00:00,3,42,54,False
2015-08-15 08:00:00,6,45,46,False
2015-08-15 09:00:00,5,36,45,False
2015-08-15 10:00:00,6,45,41,False
2015-08-15 11:00:00,7,39,37,False
2015-08-15 12:00:00,5,40,38,False
2015-08-15 13:00:00,7,41,37,False
2015-08-15 14:00:00,6,50,35,False
2015-08-15 15:00:00,6,52,30,False
2015-08-15 16:00:00,6,49,27,False
2015-08-15 17:00:00,6,50,21,False
2015-08-15 18:00:00,6,50,20,False
2015-08-15 19:00:00,6,45,18,False
2015-08-15 20:00:00,6,46,24,False
2015-08-15 21:00:00,4,47,34,False
2015-08-15 22:00:00,6,51,30,False
2015-08-15 23:00:00,4,47,29,False
2015-08-16 00:00:00,3,56,31,False
2015-08-16 01:00:00,4,59,35,False
2015-08-16 02:00:00,5,57,37,False
2015-08-16 03:00:00,2,59,38,False
2015-08-16 04:00:00,4,55,42,False
2015-08-16 05:00:00,2,51,40,False
2015-08-16 06:00:00,4,47,44,False
2015-08-16 07:00:00,4,40,43,False
2015-08-16 08:00:00,3,44,43,False
2015-08-16 09:00:00,6,36,39,False
2015-08-16 10:00:00,6,43,42,False
2015-08-16 11:00:00,6,40,37,False
2015-08-16 12:00:00,6,41,35,False
2015-08-16 13:00:00,7,45,33,False
2015-08-16 14:00:00,6,48,29,False
2015-08-16 15:00:00,5,44,30,False
2015-08-16 16:00:00,5,45,27,False
2015-08-16 17:00:00,6,45,22,False
2015-08-16 18:00:00,6,46,16,False
2015-08-16 19:00:00,5,50,17,False
2015-08-16 20:00:00,7,48,21,False
2015-08-16 21:00:00,7,51,35,False
2015-08-16 22:00:00,6,57,28,False
2015-08-16 23:00:00,8,53,63,False
2015-08-17 00:00:00,5,60,68,False
2015-08-17 00:00:00,4,47,53,False
2015-08-17 01:00:00,4,45,36,False
2015-08-17 02:00:00,4,50,48,False
2015-08-17 03:00:00,3,43,48,False
2015-08-17 04:00:00,5,39,56,False
2015-08-17 05:00:00,5,39,44,False
2015-08-17 06:00:00,7,36,41,False
2015-08-17 07:00:00,7,30,35,False
2015-08-17 08:00:00,8,27,34,False
2015-08-17 09:00:00,9,27,35,False
2015-08-17 10:00:00,9,29,31,False
2015-08-17 11:00:00,8,24,37,False
2015-08-17 12:00:00,7,27,29,False
2015-08-17 13:00:00,9,30,24,False
2015-08-17 14:00:00,8,34,24,False
2015-08-17 15:00:00,8,32,21,False
2015-08-17 16:00:00,7,34,20,False
2015-08-17 17:00:00,7,34,36,False
2015-08-17 18:00:00,8,34,23,False
